[00:00:00.014] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161120_065634.jpg
[00:00:00.014] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161120_065634.jpg -> /home/sgzmd/Downloads/Temp/2016/11/20/IMG_20161120_065634.jpg
[00:00:00.014] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161203_072043.jpg
[00:00:00.014] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161203_072043.jpg -> /home/sgzmd/Downloads/Temp/2016/12/03/IMG_20161203_072043.jpg
[00:00:00.014] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161216_173926.jpg
[00:00:00.014] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161216_173926.jpg -> /home/sgzmd/Downloads/Temp/2016/12/16/IMG_20161216_173926.jpg
[00:00:00.014] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_164144.jpg
[00:00:00.014] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_164144.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_164144.jpg
[00:00:00.014] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161203_075022.jpg
[00:00:00.014] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161203_075022.jpg -> /home/sgzmd/Downloads/Temp/2016/12/03/IMG_20161203_075022.jpg
[00:00:00.015] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_114615.jpg
[00:00:00.015] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_114615.jpg -> /home/sgzmd/Downloads/Temp/2016/12/04/IMG_20161204_114615.jpg
[00:00:00.015] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_123544.jpg
[00:00:00.015] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_123544.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/IMG_20161126_123544.jpg
[00:00:00.015] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_122129.jpg
[00:00:00.015] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161126_122129.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/IMG_20161126_122129.jpg
[00:00:00.015] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_104356.jpg
[00:00:00.015] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_104356.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_104356.jpg
[00:00:00.015] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161128_065950.jpg
[00:00:00.015] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161128_065950.jpg -> /home/sgzmd/Downloads/Temp/2016/11/28/IMG_20161128_065950.jpg
[00:00:00.016] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00018XTR_00018_BURST20161126121830.jpg
[00:00:00.016] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00018XTR_00018_BURST20161126121830.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/00018XTR_00018_BURST20161126121830.jpg
[00:00:00.016] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161217_102818.jpg
[00:00:00.016] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161217_102818.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_20161217_102818.jpg
[00:00:00.016] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_165044.jpg
[00:00:00.016] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_165044.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_165044.jpg
[00:00:00.016] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161125_075011.jpg
[00:00:00.016] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161125_075011.jpg -> /home/sgzmd/Downloads/Temp/2016/11/25/IMG_20161125_075011.jpg
[00:00:00.016] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161202_182259.jpg
[00:00:00.016] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161202_182259.jpg -> /home/sgzmd/Downloads/Temp/2016/12/02/IMG_20161202_182259.jpg
[00:00:00.017] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_164148.jpg
[00:00:00.017] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161214_164148.jpg -> /home/sgzmd/Downloads/Temp/2016/12/14/IMG_20161214_164148.jpg
[00:00:00.017] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4645.jpg
